Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,508.679993,510.100006,501.200012,502.109985,502.109985,4313500
2020-08-06,504.109985,510.820007,498.700012,509.079987,509.079987,3725900
2020-08-07,505.450012,508.290009,486.679993,494.730011,494.730011,5906700
2020-08-10,493.350006,497.459991,478.630005,483.380005,483.380005,4691200
2020-08-11,479.750000,480.920013,466.549988,466.929993,466.929993,7329200
2020-08-12,471.339996,482.489990,470.179993,475.470001,475.470001,5441200
2020-08-13,478.399994,484.450012,476.450012,481.329987,481.329987,3008900
2020-08-14,482.820007,488.329987,480.209991,482.679993,482.679993,2943500
2020-08-17,484.190002,486.239990,479.100006,482.350006,482.350006,2423500
2020-08-18,484.350006,495.299988,482.799988,491.869995,491.869995,3505500
2020-08-19,493.929993,494.500000,483.500000,484.529999,484.529999,3156200
2020-08-20,484.690002,498.940002,483.890015,497.899994,497.899994,5132500
2020-08-21,496.459991,498.130005,490.000000,492.309998,492.309998,3921300
2020-08-24,495.440002,501.000000,483.160004,488.809998,488.809998,4762200
2020-08-25,488.190002,492.470001,485.089996,490.579987,490.579987,5727700
2020-08-26,492.500000,549.039978,492.079987,547.530029,547.530029,20373700
2020-08-27,537.780029,541.000000,521.250000,526.270020,526.270020,9062900
2020-08-28,532.000000,539.000000,522.000000,523.890015,523.890015,4417500
2020-08-31,521.159973,531.989990,517.580017,529.559998,529.559998,4941400
2020-09-01,532.599976,557.390015,532.450012,556.549988,556.549988,9581900
2020-09-02,553.780029,556.500000,537.369995,552.840027,552.840027,5886900
2020-09-03,545.000000,554.000000,521.320007,525.750000,525.750000,9052300
2020-09-04,520.179993,527.359985,485.980011,516.049988,516.049988,8270118
